Country,Year,Consumption,Price,Type,Population,Total Consumption,market_value
36,2000,6.66745988225087,7.136745764897924,Americano,117.0852701216466,780.6613413385851,5571.38152161768
49,2000,5.548700315424707,11.977230743626446,Mocha,18.939623689695168,105.09029594103683,1258.6907234017879
49,2000,9.374676079736858,8.615590013943038,Americano,119.6665827206444,1121.8354505750772,9665.274305261923
25,2000,6.316052591874364,6.06588555313326,Cappuccino,86.96218781090225,549.2577517181144,3331.734661093365
25,2000,5.172313820515873,9.4396710557444,Espresso,115.6012819801048,597.9261084550486,5644.225779457009
25,2000,5.1797297504973505,11.559043690407533,Latte,49.82813066081402,258.09625079548755,2983.345839275421
12,2000,4.095432630455986,9.303194224967381,Cappuccino,83.98473298966671,343.95381594601434,3199.8691541644544
12,2000,8.428540811202481,7.781157411768405,Latte,95.38326451502292,803.941737670592,6255.597210705498
12,2000,7.844341051972632,6.326054603255754,Mocha,42.83993610864886,336.0510694809589,2125.8774150190393
12,2000,6.379899495782561,10.245485936406533,Americano,143.26362841782188,914.0075507068419,9364.45150653633
33,2000,8.377006913739226,9.050135465045525,Cappuccino,100.87805444038912,845.0561594917017,7647.872718971017
33,2000,9.14234685136528,8.990053545880794,Espresso,42.52229974440306,388.75361318105394,3494.915798652305
39,2000,4.440196852469801,9.756214065608468,Mocha,95.85395579239791,425.61043280618463,4152.346491013406
39,2000,6.948936051895882,9.88411458745915,Latte,38.84606136001803,269.93879625878884,2668.1059938226585
39,2000,8.092311389245356,9.772634861947225,Espresso,94.49827318951625,764.7094523955415,7473.226253741241
29,2000,5.124841617192351,10.359586286027444,Americano,57.854140416699494,296.4933065343916,3071.547992272614
29,2000,3.604672240665922,5.839364074269573,Mocha,88.47827163796505,318.93516967547157,1862.3785718240194
29,2000,8.090171437002883,13.358793161515752,Espresso,104.24218352031552,843.3371356468693,11265.96636053168
29,2000,5.289058602066379,6.993312628835117,Cappuccino,68.54699027955968,362.54904858386556,2535.4188400337034
15,2000,7.841456863799889,6.13717744044021,Mocha,116.73844333560493,915.3994677632937,5617.968962547861
15,2000,5.461280861525735,11.543386859360618,Latte,79.44121629750411,433.8507941818855,5008.107556482345
15,2000,4.301604138334555,8.416586797411517,Espresso,90.06995699159172,387.4452997346463,3260.966994465772
15,2000,7.208791799957331,8.079829901618762,Cappuccino,84.95500725498391,612.4229596650435,4948.27334193948
43,2000,6.690295458923736,9.016673253300675,Americano,41.38619096988884,276.88584550799783,2496.589197409507
43,2000,3.7368867536635695,8.834596594167023,Latte,73.22847617932939,273.64652262550425,2417.5566367929287
43,2000,7.547176210180277,5.594137075719502,Espresso,141.04836199936267,1064.5168421664857,5955.0531344913825
49,2000,7.754148047588918,7.847751938738707,Latte,74.51389773071762,577.7917946068843,4534.366676313493
43,2000,7.004525615567125,7.390420380799422,Cappuccino,79.04716193011636,553.6878705773826,4091.98612331652
49,2000,8.705680108333208,9.383731213314764,Espresso,42.26666637404729,367.96007669809956,3452.838456965652
27,2000,7.738622296326956,8.229429395480519,Americano,85.66216761434048,662.9071602520321,5455.347671052588
7,2000,2.0694496738104693,12.904612028475654,Mocha,37.68658854290631,77.99049836714683,1006.4371233354938
7,2000,4.967494025180093,10.021789817509969,Americano,87.54061626071756,434.85748823569776,4358.050347668477
37,2000,3.641871414242473,10.193052403787668,Cappuccino,6.278085086629511,22.863978613177995,233.05373216320376
37,2000,5.973829352730594,11.17146401651471,Espresso,111.99628509116728,669.046695274399,7474.23108162603
37,2000,9.924521702053877,6.698982615850795,Latte,145.64568450553085,1445.463756685633,9683.13657787944
37,2000,5.770460056123023,11.18646380628195,Mocha,51.32357605832823,296.1606455819749,3312.990342647859
37,2000,2.696517626503737,8.931455319331942,Americano,104.8196917515468,282.6481464127343,2524.459290777329
47,2000,7.592797409297411,11.050206994281066,Cappuccino,55.77225320102574,423.4674196154275,4679.402642084552
47,2000,5.5435048443933095,7.82177660438335,Espresso,94.19799215587545,522.1870258482186,4084.4302618921197
47,2000,5.877668963445587,10.874660212715577,Mocha,105.24582159032303,618.6000990937732,6727.065885196968
47,2000,9.809850053607796,4.669450669852588,Americano,9.885433577212009,96.97462110734953,452.8182094884142
16,2000,4.851203551037519,12.036064647378732,Cappuccino,74.27132772931036,360.30532882070173,4336.658230481017
28,2000,9.485241035276356,6.541287934287222,Cappuccino,1.7109830660964882,16.229086789201368,106.15912959870306
